Hugo Symbol	ensembl	oncokb	mskcc	mane
PMAIP1	ENST00000316660	ENST00000316660	ENST00000316660	ENST00000316660
PML	ENST00000268058	ENST00000268058		ENST00000268058
PMS1	ENST00000441310	ENST00000441310	ENST00000441310	ENST00000441310
PMS2	ENST00000265849	ENST00000265849	ENST00000265849	ENST00000265849
PNRC1	ENST00000336032	ENST00000336032	ENST00000336032	ENST00000336032
POLD1	ENST00000440232	ENST00000440232	ENST00000440232	ENST00000440232
POLE	ENST00000320574	ENST00000320574	ENST00000320574	ENST00000320574
POLG	ENST00000268124	ENST00000268124		ENST00000268124
POLH	ENST00000372236			ENST00000372236
POT1	ENST00000357628	ENST00000357628	ENST00000357628	ENST00000357628
POU2F2	ENST00000692977	ENST00000526816		
POU3F2	ENST00000328345	ENST00000328345		ENST00000328345
POU3F4	ENST00000644024	ENST00000644024		ENST00000644024
PPARG	ENST00000651735	ENST00000287820	ENST00000287820	ENST00000651735
PPM1D	ENST00000305921	ENST00000305921	ENST00000305921	ENST00000305921
PPP2R1A	ENST00000322088	ENST00000322088	ENST00000322088	ENST00000322088
PPP2R2A	ENST00000380737	ENST00000380737		ENST00000380737
PPP4R2	ENST00000356692	ENST00000356692	ENST00000356692	ENST00000356692
PPP6C	ENST00000373547	ENST00000373547	ENST00000373547	ENST00000373547
PRCC	ENST00000271526	ENST00000271526		ENST00000271526
PRDM1	ENST00000369096	ENST00000369096	ENST00000369096	ENST00000369096
PRDM14	ENST00000276594	ENST00000276594	ENST00000276594	ENST00000276594
PREX2	ENST00000288368	ENST00000288368	ENST00000288368	ENST00000288368
PRKACA	ENST00000308677	ENST00000308677		ENST00000308677
PRKAR1A	ENST00000589228	ENST00000358598	ENST00000358598	ENST00000589228
PRKCB	ENST00000643927			ENST00000643927
PRKCI	ENST00000295797	ENST00000295797	ENST00000295797	ENST00000295797
PRKD1	ENST00000331968	ENST00000331968	ENST00000331968	ENST00000331968
PRKDC	ENST00000314191	ENST00000314191		ENST00000314191
PRKN	ENST00000366898	ENST00000366898	ENST00000366898	ENST00000366898
PRPF8	ENST00000304992	ENST00000304992		ENST00000304992
PRSS1	ENST00000311737	ENST00000311737		ENST00000311737
PSMB2	ENST00000373237	ENST00000373237		ENST00000373237
PTCH1	ENST00000331920	ENST00000331920	ENST00000331920	ENST00000331920
PTDSS1	ENST00000517309		ENST00000517309	ENST00000517309
PTEN	ENST00000371953	ENST00000371953	ENST00000371953	ENST00000371953
PTP4A1	ENST00000626021	ENST00000626021	ENST00000626021	
PTPN1	ENST00000371621	ENST00000371621		ENST00000371621
PTPN11	ENST00000351677	ENST00000351677	ENST00000351677	ENST00000351677
PTPN13	ENST00000411767	ENST00000411767		ENST00000411767
PTPN14	ENST00000366956	ENST00000366956		ENST00000366956
PTPN2	ENST00000309660	ENST00000309660		ENST00000309660
PTPRD	ENST00000381196	ENST00000356435	ENST00000381196	
PTPRS	ENST00000262963	ENST00000587303	ENST00000587303	
PTPRT	ENST00000373187	ENST00000373198	ENST00000373198	
PUM1	ENST00000426105	ENST00000257075		ENST00000426105
